ID,Name,Base,Unit,Phase,Type,Direction,Misc,Description
469,Overvoltage Count N21 on Input V3,,,,,,,
470,Overvoltage Count N22 on Input V3,,,,,,,
471,Overvoltage Count N23 on Input V3,,,,,,,
472,Overvoltage Count N24 on Input V3,,,,,,,
473,Overvoltage Count N25 on Input V3,,,,,,,
474,Overvoltage Count N31 on Input V3,,,,,,,
475,Overvoltage Count N32 on Input V3,,,,,,,
476,Overvoltage Count N33 on Input V3,,,,,,,
477,Overvoltage Count N34 on Input V3,,,,,,,
478,Overvoltage Count N35 on Input V3,,,,,,,
479,Apparent Energy Received,,,,,,,
480,Voltage Flicker Pst on Input V1,,,,,,,
481,Average Voltage Line-to-Line for Trend Display,,,,,,,
482,Voltage Phases AN squared hours,,,,,,,
483,Average Voltage Line-to-Neutral,,,,,,,
484,Voltage Phases BN squared hours,,,,,,,
485,Voltage Phases CN squared hours,,,,,,,
486,Voltage Unbalance Count N,,,,,,,
487,Voltage Unbalance Count N invalid,,,,,,,
488,Voltage Unbalance Count N1,,,,,,,
489,Apparent Energy Delivered,,,,,,,
491,Air Pressure psi,,,,,,,
492,Air Volume (cubft),,,,,,,
493,Steam pressure psi,,,,,,,
494,Gas btus,,,,,,,
496,Chilled Water,,,,,,,
497,Condensate,,,,,,,
498,Condensate mlbs,,,,,,,
499,Condensate pulse,,,,,,,
500,Steam PPH,,,,,,,
504,Enthalpy,,,,,,,
506,Wind Speed,,,,,,,
507,Predicted Temperature,,,,,,,
508,Daily Max Temp,,,,,,,
509,Daily Min Temp,,,,,,,
510,Water gallons,,,,,,,
511,Domestic Water (Makeup Water) GPM,,,,,,,
512,Voltage Phases AN,,,,,,,
513,Voltage Phases BN,,,,,,,
514,Voltage Phases CN,,,,,,,
515,Current Phase A,,,,,,,
516,Current Phase B,,,,,,,
517,Current Phase C,,,,,,,
518,Active Power Phase A,,,,,,,
519,Active Power Phase B,,,,,,,
520,Active Power Phase C,,,,,,,
521,Reactive Power Phase A,,,,,,,
522,Reactive Power Phase B,,,,,,,
523,Reactive Power Phase C,,,,,,,
524,Apparent Power Phase A,,,,,,,
525,Apparent Power Phase B,,,,,,,
526,Apparent Power Phase C,,,,,,,
